site,release_site,date_released,time_released,number_released,median_fork_length_released,release_id,days_held_post_mark,day_or_night_release,release_temp,release_flow,release_turbidity
Clear Creek,CCRB,2004-04-09,14:00:00,153,37,CLR209,1,day,53.49,241,NA
Clear Creek,CCRB,2004-04-09,14:00:00,33,54,CLR210,1,day,53.49,241,NA
Clear Creek,CCRB,2004-04-16,11:10:00,272,37,CLR211,1,day,49.59,239,NA
Clear Creek,CCRB,2004-04-16,11:10:00,81,64.5,CLR212,1,day,49.59,239,NA
Clear Creek,VB,2005-01-04,19:30:00,422,36.5,CLR213,1,night,45.2,284,NA
Clear Creek,CCRB,2005-01-04,19:50:00,437,35.5,CLR214,1,night,46.56,284,NA
Clear Creek,VB,2005-01-07,22:45:00,240,34.5,CLR215,1,night,44.9,319,NA
Clear Creek,CCRB,2005-01-07,23:24:00,240,35,CLR216,1,night,45.16,319,NA
Clear Creek,VB,2005-01-11,23:22:00,409,37,CLR217,1,night,45.7,344,NA
Clear Creek,CCRB,2005-01-11,23:46:00,414,37,CLR218,1,night,46,344,NA
Clear Creek,VB,2005-01-13,23:47:00,281,37,CLR219,1,night,44.6,273,NA
Clear Creek,CCRB,2005-01-14,00:12:00,400,36,CLR220,1,night,45.45,287,NA
Clear Creek,VB,2005-01-17,18:35:00,52,43,CLR221,1,night,47.4,258,NA
Clear Creek,CCRB,2005-01-17,18:58:00,53,36,CLR222,1,night,47.68,258,NA
Clear Creek,VB,2005-01-21,18:19:00,400,36.5,CLR223,1,night,46.8,247,NA
Clear Creek,CCRB,2005-01-21,18:35:00,400,37,CLR224,1,night,47.1,247,NA
Clear Creek,VB,2005-01-25,17:43:00,431,37,CLR225,1,night,47.4,241,NA
Clear Creek,CCRB,2005-01-25,18:05:00,401,38,CLR226,1,night,47.39,241,NA
Clear Creek,VB,2005-01-28,16:52:00,424,NA,CLR227,1,night,48.5,458,NA
Clear Creek,CCRB,2005-01-28,17:09:00,398,36,CLR228,1,night,48.51,454,NA
Clear Creek,VB,2005-02-01,17:30:00,411,38,CLR229,1,night,48.2,278,NA
Clear Creek,CCRB,2005-02-01,17:49:00,411,36,CLR230,1,night,47.95,278,NA
Clear Creek,VB,2005-02-04,17:53:00,424,37,CLR231,1,night,47.7,261,NA
Clear Creek,CCRB,2005-02-04,18:11:00,459,37,CLR232,1,night,47.95,261,NA
Clear Creek,VB,2005-02-08,18:48:00,418,38,CLR233,1,night,47.9,247,NA
Clear Creek,CCRB,2005-02-08,19:12:00,464,37,CLR234,1,night,47.95,247,NA
Clear Creek,VB,2005-02-11,18:29:00,402,37,CLR235,1,night,47.9,241,NA
Clear Creek,CCRB,2005-02-11,18:47:00,399,37,CLR236,1,night,47.95,241,NA
Clear Creek,VB,2005-02-15,18:02:00,380,38,CLR237,1,night,47.4,225,NA
Clear Creek,CCRB,2005-02-15,18:19:00,412,36,CLR238,1,night,47.68,225,NA
Clear Creek,VB,2005-02-18,17:51:00,379,37,CLR239,1,night,47.9,223,NA
Clear Creek,CCRB,2005-02-18,18:10:00,348,37,CLR240,1,night,47.68,223,NA
Clear Creek,VB,2005-02-22,17:32:00,411,35,CLR241,1,night,50.8,308,NA
Clear Creek,CCRB,2005-02-22,17:57:00,405,37,CLR242,1,night,50.18,308,NA
Clear Creek,VB,2005-02-25,18:05:00,398,36,CLR243,1,night,50.5,270,NA
Clear Creek,CCRB,2005-02-25,18:20:00,400,36,CLR244,1,night,49.62,270,NA
Clear Creek,VB,2005-03-01,14:01:00,418,37,CLR245,1,day,49.9,359,NA
Clear Creek,CCRB,2005-03-01,14:33:00,422,36,CLR246,1,day,49.33,355,NA
Clear Creek,VB,2005-03-04,17:43:00,306,36,CLR247,1,night,52.4,319,NA
Clear Creek,CCRB,2005-03-04,18:02:00,384,36,CLR248,1,night,51.3,319,NA
Clear Creek,VB,2005-03-08,18:28:00,214,37,CLR249,1,night,53.5,270,NA
Clear Creek,CCRB,2005-03-08,18:47:00,212,36,CLR250,1,night,52.41,270,NA
Clear Creek,VB,2005-03-11,18:20:00,261,37.5,CLR251,1,night,53.8,258,NA
Clear Creek,CCRB,2005-03-11,18:45:00,229,37,CLR252,1,night,52.68,258,NA
Clear Creek,VB,2005-03-15,17:27:00,92,33,CLR253,1,night,52.4,247,NA
Clear Creek,CCRB,2005-03-15,17:43:00,97,35,CLR254,1,night,51.03,247,NA
Clear Creek,VB,2005-03-25,17:11:00,319,NA,CLR255,1,night,52.1,421,NA
Clear Creek,CCRB,2005-03-25,17:27:00,398,36,CLR256,1,night,51.85,421,NA
Clear Creek,VB,2005-03-29,16:13:00,388,38,CLR257,1,day,54.1,386,NA
Clear Creek,CCRB,2005-03-29,16:32:00,401,43,CLR258,1,day,52.14,386,NA
Clear Creek,CCRB,2005-04-01,15:37:00,212,38.5,CLR259,1,day,51.85,319,NA
Clear Creek,VB,2005-04-01,15:37:00,253,36,CLR260,1,day,52.7,319,NA
Clear Creek,VB,2005-04-05,15:04:00,398,36,CLR261,1,day,55.5,308,NA
Clear Creek,CCRB,2005-04-05,15:21:00,396,36,CLR262,1,day,53.53,308,NA
Clear Creek,VB,2005-04-08,18:45:00,202,37,CLR263,1,night,50.5,421,NA
Clear Creek,CCRB,2005-04-08,19:15:00,202,39,CLR264,1,night,50.47,417,NA
Clear Creek,CCRB,2005-04-12,18:18:00,363,53,CLR265,1,night,52.14,312,NA
Clear Creek,VB,2005-04-12,18:46:00,364,44,CLR266,1,night,52.4,312,NA
Clear Creek,VB,2005-04-15,17:40:00,218,48.5,CLR267,1,night,56.6,284,NA
Clear Creek,CCRB,2005-04-15,18:02:00,106,62,CLR268,1,night,54.93,284,NA
Clear Creek,VB,2005-04-19,18:42:00,273,48,CLR269,1,night,56.3,267,NA
Clear Creek,CCRB,2005-04-19,18:54:00,242,53,CLR270,1,night,54.93,267,NA
Clear Creek,CCRB,2005-04-22,18:24:00,131,57,CLR271,1,night,56.05,261,NA
Clear Creek,VB,2005-04-26,17:32:00,120,69,CLR272,1,night,58.8,261,NA
Clear Creek,CCRB,2005-04-29,16:35:00,62,62,CLR273,1,day,54.93,255,NA
Clear Creek,VB,2005-05-03,15:03:00,81,65,CLR274,1,day,59.4,250,NA
Clear Creek,CCRB,2005-05-06,16:44:00,116,63,CLR275,1,day,53.82,281,NA
Clear Creek,VB,2005-05-06,17:01:00,110,62,CLR276,1,day,56.3,281,NA
Clear Creek,VB,2005-05-13,15:32:00,96,64,CLR277,1,day,60.5,319,NA
Clear Creek,CCRB,2005-05-13,16:00:00,107,59,CLR278,1,day,57.99,319,NA
Clear Creek,VB,2005-12-23,17:25:00,186,35.5,CLR279,0,night,52.3,359,NA
Clear Creek,CCRB,2005-12-23,18:01:00,173,36,CLR280,0,night,52.14,355,NA
Clear Creek,CCRB,2006-01-06,21:20:00,392,35,CLR281,0,night,50.74,417,NA
Clear Creek,CCRB,2006-01-11,17:00:00,177,37.5,CLR282,1,night,50.47,337,NA
Clear Creek,CCRB,2006-01-14,18:28:00,198,36,CLR283,1,night,49.62,378,NA
Clear Creek,VB,2006-01-20,17:40:00,392,35,CLR284,1,night,46.8,378,NA
Clear Creek,CCRB,2006-01-20,18:00:00,390,36,CLR285,1,night,47.68,382,NA
Clear Creek,VB,2006-01-24,00:07:00,395,37,CLR286,1,night,46.8,299,NA
Clear Creek,CCRB,2006-01-24,00:30:00,399,37,CLR287,1,night,47.1,299,NA
Clear Creek,VB,2006-01-27,16:50:00,408,37,CLR288,1,night,NA,281,NA
Clear Creek,CCRB,2006-01-27,17:00:00,410,36,CLR289,1,night,47.39,287,NA
Clear Creek,VB,2006-01-31,13:45:00,406,37,CLR290,1,day,47,437,NA
Clear Creek,CCRB,2006-01-31,14:04:00,401,37,CLR291,1,day,47.68,433,NA
Clear Creek,CCRB,2006-02-03,17:45:00,354,37,CLR292,1,night,51.3,425,NA
Clear Creek,VB,2006-02-03,18:00:00,359,36,CLR293,1,night,51,425,NA
Clear Creek,VB,2006-02-07,16:10:00,315,36,CLR294,1,night,50.1,326,NA
Clear Creek,CCRB,2006-02-07,16:30:00,315,36,CLR295,1,night,49.33,326,NA
Clear Creek,VB,2006-02-10,19:02:00,372,36.5,CLR296,1,night,49,293,NA
Clear Creek,CCRB,2006-02-10,19:24:00,412,36,CLR297,1,night,49.62,293,NA
Clear Creek,VB,2006-02-17,16:48:00,393,37,CLR298,1,night,47.3,267,NA
Clear Creek,CCRB,2006-02-17,17:06:00,399,37,CLR299,1,night,47.1,267,NA
Clear Creek,VB,2006-02-24,19:26:00,407,37,CLR300,1,night,48.1,253,NA
Clear Creek,CCRB,2006-02-24,19:45:00,417,36,CLR301,1,night,48.51,253,NA
Clear Creek,VB,2006-03-03,18:15:00,396,37,CLR302,1,night,47,405,NA
Clear Creek,CCRB,2006-03-03,18:33:00,401,38,CLR303,1,night,47.1,405,NA
Clear Creek,VB,2006-03-10,18:18:00,415,37,CLR304,1,night,45.9,409,NA
Clear Creek,CCRB,2006-03-10,18:34:00,425,37,CLR305,1,night,46,405,NA
Clear Creek,VB,2006-03-17,18:14:00,412,37,CLR306,1,night,50.4,521,NA
Clear Creek,CCRB,2006-03-17,18:27:00,408,36,CLR307,1,night,50.47,516,NA
Clear Creek,VB,2006-03-21,16:30:00,299,36,CLR308,1,day,47.9,441,NA
Clear Creek,CCRB,2006-03-21,16:45:00,297,37,CLR309,1,day,48.22,441,NA
Clear Creek,VB,2006-03-29,18:40:00,140,37.5,CLR310,1,night,49,409,NA
Clear Creek,CCRB,2006-03-29,18:55:00,135,37,CLR311,1,night,49.06,409,NA
Clear Creek,VB,2006-04-04,20:00:00,177,36,CLR312,1,night,50.1,547,NA
Clear Creek,CCRB,2006-04-04,20:16:00,177,36.5,CLR313,1,night,50.18,547,NA
Clear Creek,VB,2006-04-18,18:12:00,135,36.5,CLR314,1,night,54.3,450,NA
Clear Creek,CCRB,2006-12-13,16:33:00,485,35,CLR315,0,night,51.03,278,NA
Clear Creek,CCRB,2006-12-19,16:30:00,361,35,CLR316,1,night,NA,231,NA
Clear Creek,CCRB,2006-12-28,16:10:00,401,35,CLR317,1,night,NA,275,NA
Clear Creek,CCRB,2007-01-08,17:13:00,353,37,CLR318,1,night,48.72,220,NA
Clear Creek,VB,2007-01-08,17:55:00,340,36.5,CLR319,1,night,47.3,220,NA
Clear Creek,CCRB,2007-01-18,16:50:00,401,37,CLR320,1,night,43.72,215,NA
Clear Creek,CCRB,2007-01-25,17:00:00,398,37,CLR321,1,night,43.26,217,NA
Clear Creek,VB,2007-01-25,17:30:00,401,38,CLR322,1,night,44.4,217,NA
Clear Creek,VB,2007-01-31,16:30:00,399,38,CLR323,1,night,44.7,215,NA
Clear Creek,CCRB,2007-01-31,17:30:00,408,37,CLR324,1,night,43.12,215,NA
Clear Creek,VB,2007-02-06,17:54:00,378,39,CLR325,1,night,45.8,215,NA
Clear Creek,CCRB,2007-02-09,18:20:00,409,38,CLR326,1,night,44.95,267,NA
Clear Creek,VB,2007-02-09,19:15:00,400,38,CLR327,2,night,45.7,267,NA
Clear Creek,VB,2007-02-13,17:19:00,389,37,CLR328,1,night,48,270,NA
Clear Creek,CCRB,2007-02-13,17:48:00,399,38,CLR329,1,night,46.21,267,NA
Clear Creek,VB,2007-02-21,16:35:00,432,39,CLR330,1,night,46,417,NA
Clear Creek,VB,2007-02-22,16:13:00,400,38,CLR331,0,day,48.2,458,NA
Clear Creek,VB,2007-02-28,16:31:00,405,38,CLR332,1,night,47.3,312,NA
Clear Creek,CCRB,2007-02-28,17:07:00,393,38,CLR333,1,night,NA,312,NA
Clear Creek,CCRB,2007-03-07,17:35:00,382,38,CLR334,1,night,NA,255,NA
Clear Creek,VB,2007-03-07,18:30:00,398,38,CLR335,1,night,48,255,NA
Clear Creek,CCRB,2007-03-13,18:12:00,382,38,CLR336,1,night,NA,236,NA
Clear Creek,VB,2007-03-13,18:55:00,398,38,CLR337,1,night,53.7,236,NA
Clear Creek,CCRB,2007-03-20,17:30:00,319,38,CLR338,0,night,NA,231,NA
Clear Creek,VB,2007-03-20,18:00:00,410,37.5,CLR339,1,night,54.1,231,NA
Clear Creek,CCRB,2007-03-28,18:35:00,380,38,CLR340,1,night,50,225,NA
Clear Creek,VB,2007-03-28,19:30:00,396,38,CLR341,1,night,51.7,225,NA
Clear Creek,CCRB,2007-04-03,17:15:00,394,38,CLR342,1,night,51.06,203,NA
Clear Creek,VB,2007-04-03,18:00:00,413,37,CLR343,1,night,54.5,203,NA
Clear Creek,CCRB,2007-04-10,17:25:00,383,38,CLR344,1,night,51.19,236,NA
Clear Creek,VB,2007-04-10,20:05:00,396,38,CLR345,1,night,52.5,236,NA
Clear Creek,VB,2007-04-17,19:40:00,397,38,CLR346,0,night,52.5,236,NA
Clear Creek,VB,2007-04-25,19:59:00,415,40,CLR347,1,night,55.5,241,NA
Clear Creek,CCRB,2007-05-03,19:15:00,85,65,CLR348,1,night,50.92,231,NA
Clear Creek,VB,2007-05-03,19:48:00,343,38,CLR349,1,night,NA,NA,NA
Clear Creek,CCRB,2007-05-15,18:00:00,136,59.5,CLR350,1,night,56.25,225,NA
Clear Creek,VB,2007-05-15,18:45:00,302,42,CLR351,1,night,NA,NA,NA
Clear Creek,CCRB,2007-12-16,21:23:00,191,34,CLR352,1,night,47.83,247,NA
Clear Creek,VB,2007-12-22,20:07:00,402,35,CLR353,1,night,46.5,225,NA
Clear Creek,CCRB,2007-12-22,21:01:00,400,35,CLR354,1,night,47.38,223,NA
Clear Creek,CCRB,2007-12-29,21:24:00,325,36,CLR355,1,night,45.13,217,NA
Clear Creek,VB,2007-12-31,19:15:00,398,37,CLR356,0,night,44.7,215,NA
Clear Creek,CCRB,2008-01-03,21:38:00,496,38,CLR357,0,night,44.58,752,NA
Clear Creek,CCRB,2008-01-08,21:10:00,391,37,CLR358,1,night,43.58,439,NA
Clear Creek,VB,2008-01-08,23:30:00,397,39,CLR359,1,night,43.9,408,NA
Clear Creek,CCRB,2008-01-12,22:08:00,318,37,CLR360,1,night,45.35,270,NA
Clear Creek,VB,2008-01-12,00:00:00,401,37,CLR361,1,night,45.3,287,NA
Clear Creek,VB,2008-01-15,18:08:00,399,38,CLR362,1,night,44.3,239,NA
Clear Creek,CCRB,2008-01-15,18:39:00,402,38,CLR363,1,night,44.49,239,NA
Clear Creek,CCRB,2008-01-19,22:10:00,401,38,CLR364,1,night,44.13,225,NA
Clear Creek,VB,2008-01-19,23:32:00,398,37,CLR365,1,night,43.3,225,NA
Clear Creek,VB,2008-01-23,21:35:00,417,37,CLR366,1,night,43.7,220,NA
Clear Creek,CCRB,2008-01-23,21:55:00,394,38,CLR367,1,night,43.94,220,NA
Clear Creek,VB,2008-01-26,22:45:00,405,39,CLR368,1,night,45.9,443,NA
Clear Creek,CCRB,2008-01-26,23:04:00,399,39,CLR369,1,night,45.22,443,NA
Clear Creek,VB,2008-01-29,22:30:00,401,39,CLR370,1,night,42.3,317,NA
Clear Creek,CCRB,2008-01-29,22:45:00,406,37,CLR371,1,night,42.71,317,NA
Clear Creek,VB,2008-02-05,19:00:00,408,39,CLR372,1,night,45.2,327,NA
Clear Creek,CCRB,2008-02-05,19:20:00,405,39,CLR373,1,night,45.08,327,NA
Clear Creek,VB,2008-02-09,18:18:00,418,39,CLR374,1,night,46.3,276,NA
Clear Creek,CCRB,2008-02-09,18:45:00,410,39,CLR375,1,night,45.67,276,NA
Clear Creek,VB,2008-02-12,17:45:00,407,38,CLR376,1,night,47.1,273,NA
Clear Creek,CCRB,2008-02-12,18:15:00,401,38,CLR377,1,night,45.17,270,NA
Clear Creek,VB,2008-02-16,17:35:00,410,39,CLR378,1,night,46.5,247,NA
Clear Creek,CCRB,2008-02-16,17:50:00,402,38,CLR379,1,night,45.58,247,NA
Clear Creek,CCRB,2008-02-20,17:30:00,399,38,CLR380,1,night,45.26,241,NA
Clear Creek,VB,2008-02-20,17:55:00,402,38,CLR381,1,night,46.6,241,NA
Clear Creek,VB,2008-02-22,20:10:00,402,39,CLR382,0,night,46.3,327,NA
Clear Creek,CCRB,2008-02-22,20:30:00,402,38,CLR383,0,night,46.17,327,NA
Clear Creek,VB,2008-02-26,17:30:00,396,38,CLR384,0,night,49.1,425,NA
Clear Creek,CCRB,2008-02-26,17:45:00,397,38,CLR385,0,night,48.67,425,NA
Clear Creek,VB,2008-03-01,18:05:00,402,37,CLR386,1,night,48.8,296,NA
Clear Creek,CCRB,2008-03-01,18:20:00,405,38,CLR387,1,night,47.06,296,NA
Clear Creek,CCRB,2008-03-04,18:34:00,374,38,CLR388,1,night,47.74,270,NA
Clear Creek,VB,2008-03-04,18:47:00,371,38,CLR389,1,night,48.8,270,NA
Clear Creek,CCRB,2008-03-08,18:00:00,402,38,CLR390,1,night,47.83,253,NA
Clear Creek,VB,2008-03-08,18:13:00,401,38,CLR391,1,night,49.2,253,NA
Clear Creek,CCRB,2008-03-11,19:17:00,405,37,CLR392,1,night,48.94,244,NA
Clear Creek,VB,2008-03-11,19:34:00,404,38,CLR393,1,night,51,247,NA
Clear Creek,CCRB,2008-03-15,18:25:00,406,37,CLR394,1,night,47.42,241,NA
Clear Creek,VB,2008-03-15,19:10:00,405,38,CLR395,1,night,49.1,241,NA
Clear Creek,CCRB,2008-03-18,19:02:00,402,38,CLR396,1,night,50.31,236,NA
Clear Creek,VB,2008-03-18,19:17:00,401,38,CLR397,1,night,53,236,NA
Clear Creek,CCRB,2008-03-22,19:00:00,410,37,CLR398,1,night,49.91,231,NA
Clear Creek,CCRB,2008-03-25,19:00:00,394,38,CLR399,1,night,50.93,231,NA
Clear Creek,VB,2008-03-25,19:25:00,397,37,CLR400,1,night,53.5,231,NA
Clear Creek,VB,2008-03-29,19:00:00,405,37,CLR401,1,night,51,228,NA
Clear Creek,VB,2008-04-01,19:10:00,404,37,CLR402,1,night,52.7,225,NA
Clear Creek,VB,2008-04-05,18:35:00,401,36,CLR403,1,night,54.1,225,NA
Clear Creek,VB,2008-04-08,19:00:00,411,37,CLR404,1,night,54,225,NA
Clear Creek,CCRB,2008-12-06,16:45:00,334,34,CLR405,1,night,49.69,194,0.9
Clear Creek,CCRB,2008-12-08,16:52:00,405,35,CLR406,1,night,50.27,194,1.05
Clear Creek,CCRB,2008-12-11,16:55:00,404,35,CLR407,1,night,50.18,265,1.05
Clear Creek,CCRB,2008-12-15,17:05:00,402,34,CLR408,1,night,48.36,204,1.03
Clear Creek,CCRB,2008-12-18,16:58:00,403,35,CLR409,1,night,47.51,204,0.99
Clear Creek,VB,2008-12-18,17:20:00,402,34,CLR410,1,night,46.1,204,1.37
Clear Creek,CCRB,2008-12-22,17:15:00,418,34,CLR411,1,night,47.38,204,0.98
Clear Creek,VB,2008-12-22,17:55:00,398,36,CLR412,1,night,47.3,204,0.73
Clear Creek,CCRB,2008-12-25,17:47:00,300,35,CLR413,1,night,46.03,223,4.69
Clear Creek,VB,2008-12-25,18:04:00,310,36,CLR414,1,night,45.9,223,6.23
Clear Creek,CCRB,2008-12-29,17:45:00,413,35,CLR415,1,night,46.53,215,10.88
Clear Creek,CCRB,2009-01-01,17:50:00,428,35,CLR416,1,night,46.3,207,1.25
Clear Creek,VB,2009-01-01,18:10:00,395,36,CLR417,1,night,46.5,207,1.05
Clear Creek,CCRB,2009-01-04,17:10:00,399,36,CLR418,1,night,45.17,204,0.76
Clear Creek,VB,2009-01-04,17:30:00,400,36,CLR419,1,night,44.9,204,1.63
Clear Creek,CCRB,2009-01-07,17:28:00,415,37,CLR420,1,night,46.39,217,1.05
Clear Creek,VB,2009-01-07,17:49:00,404,36,CLR421,1,night,47,217,1.13
Clear Creek,VB,2009-01-11,17:53:00,402,37,CLR422,1,night,47,217,0.99
Clear Creek,CCRB,2009-01-11,18:00:00,401,36,CLR423,1,night,46.75,217,1.09
Clear Creek,CCRB,2009-01-14,17:47:00,401,37,CLR424,1,night,46.71,217,1.03
Clear Creek,VB,2009-01-14,18:02:00,385,37,CLR425,1,night,47.2,215,1.15
Clear Creek,VB,2009-01-18,17:40:00,400,37,CLR426,1,night,46.8,215,1.2
Clear Creek,CCRB,2009-01-18,18:00:00,404,37,CLR427,1,night,46.48,217,0.92
Clear Creek,VB,2009-01-21,17:52:00,409,36,CLR428,1,night,46.9,215,0.89
Clear Creek,CCRB,2009-01-21,18:05:00,408,37,CLR429,1,night,46.71,215,0.83
Clear Creek,VB,2009-01-25,17:15:00,400,37,CLR430,1,night,47.7,217,1.86
Clear Creek,CCRB,2009-01-25,17:30:00,401,37,CLR431,1,night,46.44,217,0.94
Clear Creek,VB,2009-01-28,17:25:00,399,37,CLR432,1,night,46.8,217,1.09
Clear Creek,CCRB,2009-01-28,17:52:00,400,36,CLR433,1,night,46.03,218,0.99
Clear Creek,CCRB,2009-02-01,17:40:00,404,37,CLR434,1,night,46.93,218,1.25
Clear Creek,VB,2009-02-01,17:55:00,402,36,CLR435,1,night,48,218,1.26
Clear Creek,CCRB,2009-02-04,17:17:00,405,37,CLR436,1,night,47.24,218,0.83
Clear Creek,VB,2009-02-04,17:34:00,409,38,CLR437,1,night,48,215,0.68
Clear Creek,VB,2009-02-11,17:50:00,410,37,CLR438,1,night,45.2,326,2.87
Clear Creek,CCRB,2009-02-11,17:50:00,406,37,CLR439,1,night,44.36,326,2.87
Clear Creek,VB,2009-02-19,17:45:00,800,37,CLR440,1,night,47.6,313,2.81
Clear Creek,VB,2009-02-25,17:45:00,418,38,CLR441,0,night,47.8,440,32.7
Clear Creek,VB,2009-03-04,18:05:00,433,38,CLR442,1,night,48.2,449,7.25
Clear Creek,VB,2009-03-11,18:50:00,507,37,CLR443,1,night,50,260,3.28
Clear Creek,VB,2009-03-18,19:00:00,511,37,CLR444,1,night,52.6,340,3.46
Clear Creek,VB,2009-03-25,20:03:00,500,37,CLR445,1,night,52.4,257,3.34
Clear Creek,VB,2009-03-28,19:48:00,503,37,CLR446,1,night,54.7,245,2.22
Clear Creek,VB,2009-04-01,19:37:00,491,38,CLR447,1,night,55,242,2.21
Clear Creek,VB,2009-04-15,19:45:00,308,37,CLR448,1,night,54.8,263,1.56
Clear Creek,VB,2009-04-18,19:50:00,501,37,CLR449,1,night,58.6,254,1.18
Clear Creek,VB,2009-04-20,19:32:00,144,36,CLR450,1,night,60,251,1.8
Clear Creek,VB,2009-04-25,20:00:00,297,36,CLR451,1,night,57,242,1.06
Clear Creek,VB,2009-04-29,20:05:00,497,36,CLR452,1,night,56,240,1.11
Clear Creek,VB,2009-05-06,20:05:00,318,35,CLR453,0,night,57,428,6.13
Clear Creek,VB,2009-05-13,20:55:00,233,36,CLR454,1,night,58.3,260,1.21
Clear Creek,CCRB,2009-12-19,15:35:00,481,36,CLR455,1,day,48,240,1.77
Clear Creek,CCRB,2009-12-25,15:30:00,501,37,CLR456,1,day,46.89,231,1.32
Clear Creek,CCRB,2009-12-31,22:30:00,440,37,CLR457,1,night,46.93,257,1.96
Clear Creek,CCRB,2009-12-31,22:30:00,533,37,CLR458,1,night,46.93,257,1.96
Clear Creek,CCRB,2009-12-31,22:30:00,505,37,CLR459,1,night,46.93,257,1.96
Clear Creek,VB,2010-01-07,16:45:00,484,37,CLR460,1,night,48.1,237,1.84
Clear Creek,VB,2010-01-07,16:45:00,481,37,CLR461,1,night,48.1,237,1.84
Clear Creek,VB,2010-01-07,16:45:00,500,36,CLR462,1,night,48.1,237,1.84
Clear Creek,VB,2010-01-18,04:42:00,803,36,CLR463,1,night,48.2,991,NA
Clear Creek,CCRB,2010-01-28,17:15:00,399,39,CLR464,1,night,48.94,436,4.79
Clear Creek,VB,2010-01-28,17:30:00,404,36,CLR465,1,night,48.9,440,5.8
Clear Creek,VB,2010-02-04,17:45:00,610,38,CLR466,1,night,48,548,9.27
Clear Creek,VB,2010-02-11,18:45:00,285,37,CLR467,1,night,48.5,479,1.57
Clear Creek,VB,2010-02-11,18:45:00,274,39,CLR468,1,night,48.5,479,1.57
Clear Creek,VB,2010-03-04,18:05:00,334,38,CLR469,1,night,48.9,453,5.55
Clear Creek,VB,2010-03-04,18:05:00,325,38,CLR470,1,night,48.9,453,5.55
